Profiling file: onnxruntime_profile__2026-06-02_07-28-15_187.json
FPS (preprocess + inference): 74.25695478355941
Name                 Type          Forward_MACs  FPercent        Memory  MPercent        Params  PPercent    InShape      OutShape
node_Sigmoid_18      Sigmoid          2,097,152  1.00%          262,144  0.55%                0  0.00%       1x64x32x32   1x64x32x32
node_Conv_1088       Conv               655,360  0.31%          264,704  0.56%              640  0.01%       1x1x64x64    1x64x32x32
node_Mul_110         Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Mul_749         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Split_924       Split                    0  0.00%          131,072  0.28%                0  0.00%       1x128x16x16  1x64x16x16
node_Conv_1148       Conv             6,299,648  3.00%        1,607,680  3.40%          393,728  3.77%       1x768x4x4    1x512x4x4
node_Mul_449         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Sigmoid_305     Sigmoid            131,072  0.06%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Sigmoid_625     Sigmoid             16,384  0.01%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Sigmoid_35      Sigmoid          1,048,576  0.50%          131,072  0.28%                0  0.00%       1x128x16x16  1x128x16x16
node_Conv_1136       Conv             2,361,344  1.13%          598,528  1.27%          147,584  1.41%       1x128x4x4    1x128x4x4
node_MatMul_788      MatMul               4,096  0.00%            4,096  0.01%                0  0.00%       1x4x64x4     1x4x64x4
node_Sigmoid_287     Sigmoid            131,072  0.06%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Conv_1166       Conv               263,168  0.13%          267,264  0.57%           65,792  0.63%       1x256x2x2    1x256x2x2
node_Conv_1108       Conv            12,648,448  6.03%          459,776  0.97%           49,408  0.47%       1x192x16x16  1x256x16x16
node_Mul_288         Mul                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Add_324         Add                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Mul_145         Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Sigmoid_109     Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Sigmoid_270     Sigmoid            131,072  0.06%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Conv_1132       Conv             4,202,496  2.00%        1,083,392  2.29%          262,656  2.51%       1x512x4x4    1x512x4x4
node_Mul_432         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Sigmoid_588     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Mul_76          Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Conv_1182       Conv             1,050,624  0.50%        1,058,816  2.24%          262,656  2.51%       1x512x2x2    1x512x2x2
