FPS (preprocess + inference): 167.16496202780746
Name                             Type                     Forward_MACs  FPercent        Memory  MPercent       Params  PPercent    InShape      OutShape
node_Resize_1463                 Resize                              0  0.00%           16,400  0.13%               4  0.00%       1x64x4x4     1x64x8x8
node_Conv_2257                   Conv                            8,448  0.01%            3,136  0.02%             528  0.02%       1x32x4x4     1x16x4x4
node_Add_1801                    Add                               256  0.00%            1,024  0.01%               0  0.00%       1x64x2x2     1x64x2x2
node_Sigmoid_1640                Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
node_Sigmoid_1081                Sigmoid                         1,024  0.00%              128  0.00%               0  0.00%       1x32x1x1     1x32x1x1
node_Conv_2323                   Conv                          590,848  0.92%          151,808  1.17%          36,928  1.51%       1x64x4x4     1x64x4x4
node_Mul_1344                    Mul                               128  0.00%              512  0.00%               0  0.00%       1x32x2x2     1x32x2x2
node_Conv_2201                   Conv                          163,840  0.26%           66,176  0.51%             160  0.01%       1x1x64x64    1x16x32x32
node_Mul_2009                    Mul                             2,048  0.00%            8,192  0.06%               0  0.00%       1x128x4x4    1x128x4x4
node_Conv_2293                   Conv                            2,112  0.00%            2,368  0.02%             528  0.02%       1x32x2x2     1x16x2x2
node_Sigmoid_760                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Mul_1171                    Mul                                64  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Mul_1742                    Mul                               192  0.00%              768  0.01%               0  0.00%       1x48x2x2     1x48x2x2
node_ReduceMean_2124             ReduceMean                        512  0.00%              528  0.00%               2  0.00%       1x128x2x2    1x128x1x1
node_Mul_2065                    Mul                               512  0.00%            2,560  0.02%             128  0.01%       1x128x2x2    1x128x2x2
node_Mul_173                     Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Conv_2332                   Conv                          147,712  0.23%          148,736  1.14%          36,928  1.51%       1x64x2x2     1x64x2x2
node_Mul_1561                    Mul                             3,072  0.00%           12,288  0.09%               0  0.00%       1x48x8x8     1x48x8x8
node_Conv_2319                   Conv                          221,696  0.35%           57,472  0.44%          13,856  0.57%       1x48x8x8     1x32x4x4
node_Add_1562                    Add                             3,072  0.00%           12,288  0.09%               0  0.00%       1x48x8x8     1x48x8x8
node_Conv_2251                   Conv                            8,448  0.01%            3,136  0.02%             528  0.02%       1x32x4x4     1x16x4x4
node_Sigmoid_1493                Sigmoid                        98,304  0.15%           12,288  0.09%               0  0.00%       1x48x8x8     1x48x8x8
node_Mul_1234                    Mul                                64  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Sigmoid_273                 Sigmoid                       131,072  0.20%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Mul_571                     Mul                             2,048  0.00%            8,192  0.06%               0  0.00%       1x32x8x8     1x32x8x8
node_Mul_1209                    Mul                                64  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Add_1855                    Add                               256  0.00%            1,024  0.01%               0  0.00%       1x64x2x2     1x64x2x2
node_Conv_2271                   Conv                            2,560  0.00%            1,664  0.01%             160  0.01%       1x16x4x4     1x16x4x4
node_Mul_537                     Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Mul_1406                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Split_2136                  Split                               0  0.00%           24,576  0.19%               0  0.00%       1x96x8x8     1x48x8x8
node_Conv_2307                   Conv                          147,968  0.23%           39,040  0.30%           9,248  0.38%       1x32x4x4     1x32x4x4
node_Sigmoid_248                 Sigmoid                       131,072  0.20%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Mul_812                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Sigmoid_659                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_InstanceNormalization_2082  InstanceNormalization           3,584  0.01%            2,304  0.02%              64  0.00%       1x32x16      1x32x16
node_Conv_2306                   Conv                          147,968  0.23%           39,040  0.30%           9,248  0.38%       1x32x4x4     1x32x4x4
node_Conv_2258                   Conv                            2,560  0.00%            1,664  0.01%             160  0.01%       1x16x4x4     1x16x4x4
node_Mul_198                     Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Conv_2234                   Conv                           33,792  0.05%            6,208  0.05%             528  0.02%       1x32x8x8     1x16x8x8
node_Mul_60                      Mul                             8,192  0.01%           32,768  0.25%               0  0.00%       1x32x16x16   1x32x16x16
node_Sigmoid_870                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_ReduceMean_1341             ReduceMean                        128  0.00%              128  0.00%               0  0.00%       1x32x2x2     1x32x1x1
node_Mul_622                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2229                   Conv                           10,240  0.02%            4,736  0.04%             160  0.01%       1x16x8x8     1x16x8x8
node_Mul_1983                    Mul                             2,048  0.00%            8,192  0.06%               0  0.00%       1x128x4x4    1x128x4x4
node_Sigmoid_1653                Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
node_Sigmoid_570                 Sigmoid                         1,024  0.00%              128  0.00%               0  0.00%       1x32x1x1     1x32x1x1
node_Sigmoid_984                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2211                   Conv                          135,168  0.21%           18,496  0.14%             528  0.02%       1x32x16x16   1x16x16x16
node_Conv_2286                   Conv                            1,088  0.00%            1,344  0.01%             272  0.01%       1x16x2x2     1x16x2x2
node_Mul_685                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Sigmoid_301                 Sigmoid                       262,144  0.41%           32,768  0.25%               0  0.00%       1x32x16x16   1x32x16x16
node_Conv_2294                   Conv                              640  0.00%              896  0.01%             160  0.01%       1x16x2x2     1x16x2x2
node_Split_2140                  Split                               0  0.00%           24,576  0.19%               0  0.00%       1x96x8x8     1x48x8x8
node_Mul_2069                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x128x2x2    1x128x2x2
node_Mul_1695                    Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
node_Conv_2242                   Conv                           17,408  0.03%            5,184  0.04%             272  0.01%       1x16x8x8     1x16x8x8
node_Conv_2241                   Conv                           10,240  0.02%            4,736  0.04%             160  0.01%       1x16x8x8     1x16x8x8
node_Mul_1609                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Mul_309                     Mul                             8,192  0.01%           32,768  0.25%               0  0.00%       1x32x16x16   1x32x16x16
node_Sigmoid_1922                Sigmoid                       196,608  0.31%           24,576  0.19%               0  0.00%       1x96x8x8     1x96x8x8
node_Conv_2233                   Conv                           17,408  0.03%            5,184  0.04%             272  0.01%       1x16x8x8     1x16x8x8
node_Sigmoid_83                  Sigmoid                       131,072  0.20%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
