timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784698723.198196555,7.922219,0.000000,0.210915,0.376862,0.126844,0.011238,0.219655,0.347893,6.586177,0.000808,0.000605,0.003216,0.038006
1784698723.716170985,6.441577,0.000000,0.223895,0.347585,0.272596,0.015950,0.216425,0.318106,5.001353,0.000000,0.001415,0.002678,0.041574
1784698724.213646461,6.854780,0.000000,0.233564,0.395412,0.335119,0.020984,0.217068,0.354782,5.253064,0.000000,0.001213,0.002778,0.040796
1784698724.690651057,9.090323,0.000000,0.335957,0.426582,0.092723,0.024265,0.216065,0.292265,7.660260,0.000000,0.001213,0.002778,0.038215
1784698725.198512073,7.047700,0.010848,0.207091,0.362022,0.332933,0.001487,0.229802,0.324974,5.531604,0.000808,0.000606,0.002924,0.042601
1784698725.706941125,7.152754,0.028915,0.223770,0.392322,0.355560,0.001472,0.215922,0.323860,5.566362,0.000000,0.001211,0.002533,0.040827
1784698726.282892641,6.862166,0.000000,0.198102,0.387569,0.159569,0.001186,0.219801,0.294205,5.555880,0.000808,0.000606,0.002974,0.041466
1784698726.774345789,7.192582,0.000000,0.243296,0.369452,0.294828,0.016611,0.219217,0.323897,5.681114,0.000000,0.001213,0.003507,0.039447
1784698727.234233257,7.932830,0.003614,0.255986,0.376489,0.072357,0.004738,0.215777,0.322447,6.633961,0.000000,0.002019,0.002678,0.042764
1784698727.706158894,6.837392,0.000000,0.216920,0.354896,0.162857,0.005031,0.222029,0.377534,5.455034,0.000808,0.000606,0.002825,0.038852
1784698728.178539178,7.188706,0.180853,0.223332,0.344074,0.309435,0.001183,0.215491,0.324412,5.548783,0.000202,0.001213,0.002679,0.037049
1784698728.656778620,6.383784,0.000000,0.239382,0.376387,0.230575,0.015979,0.218723,0.371974,4.883967,0.000000,0.001415,0.002826,0.042556
1784698729.150383855,8.702531,0.000000,0.220773,0.358395,0.369712,0.005018,0.217574,0.360160,7.127091,0.000000,0.002021,0.002631,0.039156
1784698729.642198000,5.999411,0.021692,0.236081,0.384146,0.238276,0.010975,0.218505,0.367562,4.479646,0.000808,0.000606,0.003118,0.037996
1784698730.126614673,6.796169,0.000000,0.210856,0.343527,0.031246,0.000000,0.217862,0.279506,5.669737,0.000000,0.001215,0.002680,0.039540
1784698730.590431651,6.714219,0.000000,0.220711,0.370753,0.065768,0.002367,0.214990,0.372314,5.424624,0.000000,0.001417,0.002484,0.038791
1784698731.046323918,8.333992,0.000000,0.207149,0.381353,0.199329,0.001184,0.216856,0.341805,6.936186,0.000808,0.000605,0.002972,0.045745
1784698731.494718824,5.704686,0.177414,0.213921,0.387961,0.297871,0.010351,0.218941,0.295224,4.061570,0.000808,0.000606,0.002777,0.037242
1784698731.960851131,8.124067,0.184516,0.191446,0.377838,0.231340,0.015892,0.218070,0.321224,6.538393,0.000000,0.001212,0.002680,0.041456
1784698732.418779894,6.048446,0.202505,0.204254,0.369784,0.076804,0.002362,0.215419,0.364995,4.567170,0.000807,0.001213,0.002731,0.040402
1784698732.889679527,7.057367,0.188134,0.197991,0.363483,0.128387,0.004153,0.213773,0.296411,5.620328,0.000808,0.000606,0.003897,0.039396
1784698733.386305569,8.159642,0.000000,0.201405,0.363779,0.298851,0.001483,0.216856,0.333225,6.699444,0.000202,0.001413,0.003506,0.039478
